gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
CEACAM20	77.83215386107679	4.348735055366474	0.4693400893255471	3.8671374004894444e-22	6.109364554893835e-21
CEACAM7	28.92935577065443	2.0744991741084364	0.9639085224385231	6.722853629633075e-4	0.00138912463594883
CEL	43.50196349542692	2.8570230867768864	0.29306008020515417	7.725491824181737e-24	1.4025596947020222e-22
CELA3A	3.665408832358699	3.346561695329388	0.6419852546414592	5.477428765247143e-9	2.2062938030932492e-8
CELF3	1.89537631285112	2.5172910030044866	0.38964506640588936	4.275245473241764e-12	2.5114903569529556e-11
CELSR3	287.0385643491695	3.4631006907340787	0.20383094468501634	5.465710016460434e-66	1.431940111673516e-63
CEMIP	219.42426790712037	2.351425967581088	0.2764518405683436	8.831784366586541e-19	1.0216761017056715e-17
CEND1	9.468681557535536	2.092181904776777	0.27005679608069233	5.255612963885032e-16	4.652117660148445e-15
CENPA	129.26510744409364	4.059347044332735	0.22340348566582502	3.519613726294219e-75	1.4432711678062578e-72
CENPE	214.07062667673932	3.1073902553437516	0.18686840447936284	2.089672862164532e-63	4.3797221332232855e-61
CENPF	962.6438455462113	3.851934962452787	0.19313920369588272	8.625895688416507e-90	2.0338783796325072e-86
CENPI	86.61660004209205	3.07434024020157	0.195561673375652	5.168876941421512e-57	8.262756419155423e-55
CENPK	108.37851337761171	2.5837564208874304	0.18552059389883108	1.8722670107132348e-45	1.6979121453405648e-43
CENPL	181.94090467212763	2.3582374489958555	0.14264219731872657	1.0894423122808756e-62	2.16317371963728e-60
CENPM	292.71226306096247	3.5370528090592086	0.2117704492609064	7.09289251589731e-64	1.5203776309928515e-61
CENPU	402.2289582564737	2.14671099506752	0.16458301638176856	4.384894910273502e-40	2.871953912933648e-38
CENPW	252.86699092576254	2.5441194152539666	0.17369754916776192	6.203541204242076e-50	7.049240827446885e-48
CEP55	163.4874089989727	3.0030730633042144	0.21165800628029358	4.879716902781504e-47	4.7940677050608076e-45
CERS1	37.01304503043964	4.331433291489773	0.4332058753971458	3.3048171059983197e-25	6.76859555596594e-24
CETP	454.2855187650948	-2.856186717015053	0.19621033137816643	2.258227404313337e-49	2.491049329097221e-47
CFAP61	4.481919016403865	2.047889971580436	0.3842368092520086	4.0809600995258385e-9	1.6691056018507347e-8
CFP	422.0442317628872	-3.3491896732354483	0.21117202592777934	6.468214778446446e-58	1.0702625909283798e-55
CHAF1B	263.8994345623443	2.542903837964165	0.18969294926402414	2.475536306398206e-42	1.8753430260076047e-40
CHGA	24.47754934607463	4.915784431304103	0.4995804644332954	4.406023130168677e-25	8.888857144852596e-24
CHODL	15.388003549519333	2.2458406655625023	0.42003287994718497	3.5489952197799094e-9	1.461674603290577e-8
CHP2	22.345512220270674	6.423872786711737	0.8374254437816605	1.7733201771206033e-17	1.8120335049309827e-16
CHRM2	14.706969525368349	-3.5206811800292463	0.4719276385576517	3.43024827607474e-15	2.7865966077346173e-14
CHRNA3	5.8758374523732035	2.6181520007203165	0.47715549341787145	1.4713782649189557e-9	6.384772995437374e-9
CHRNB4	11.84306595907569	2.4166460025038186	0.29830906144067626	2.520957230785361e-17	2.542931349962795e-16
CHRND	8.304962121910766	4.073765333667846	0.571973958308682	2.6679963655354158e-14	1.972811267859449e-13
CHST6	8.812926399797766	2.298875107866247	0.33042456253776203	1.6377819966039993e-13	1.1221751471827547e-12
CKAP2L	195.9691441482863	3.160202943713184	0.19610470331693183	9.960994856023078e-60	1.853827000378733e-57
CKMT1A	14.168580497623433	3.1379566907693195	0.5097578691794207	2.702673201398156e-11	1.4450262074255503e-10
CKMT1B	13.164430437510003	2.7567972124720552	0.5604366262928855	2.7483775790980857e-8	1.0203236818446604e-7
CLCN1	14.46322769780618	2.056026961571276	0.33385113015216	3.505338864887874e-11	1.850061751773362e-10
CLCNKA	36.1816603033664	2.5304326664468517	0.32171636112211793	1.5888572123654453e-16	1.4844286080658444e-15
CLDN18	8.350452477017308	2.2595585356037677	0.397289193476085	5.392746272345618e-10	2.4768291437851325e-9
CLDN19	45.80616556262128	2.618783199891831	0.39652946212395046	1.5929637988296877e-12	9.790836147710785e-12
CLEC1B	156.69202712243612	-4.943096968647494	0.46003078587139296	3.4090000094000886e-29	1.0256946853316448e-27
CLEC2L	26.435427336957428	5.559800595362858	0.650865277015761	2.1035215764202785e-20	2.8525325302671252e-19
CLEC4G	554.3700969264896	-5.187039379901854	0.3848774833201432	6.235647564985285e-44	5.2045584078901524e-42
CLEC4M	226.03619266252184	-5.265858209651409	0.5312902072676015	9.596978388112141e-26	2.0736289041805193e-24
CLPS	3.882924367767798	2.2920670265312384	1.4209100999223618	0.0015609224852153882	0.0030432745052835007
CLPSL2	1.89227432765899	2.069649406483136	0.7481475122449084	1.3105967246298633e-4	3.0104464219061263e-4
CLSPN	76.36390962837017	2.7490540417794294	0.23000496401803597	2.6388599015104703e-34	1.1767568397681325e-32
CLVS1	23.342487558733147	2.3820493936475917	0.27640704009765804	3.2722385847894675e-19	3.961761002880855e-18
CLVS2	22.75336217447876	3.1846583262088086	0.7444121018434716	4.364055164228228e-7	1.3860780024050694e-6
CNDP1	785.5666389411937	-3.0955670261819113	0.38260643758516405	2.4567055425068218e-17	2.4807728398450845e-16
CNGB3	4.709080552599918	2.1499403319512815	0.43699466896258315	3.231091642693359e-8	1.1878402193748747e-7
