UMAP_1	UMAP_2	Highlight	cell_id
7.713155737	-7.9417519	none	cell385
10.38343333	-6.43856186	none	cell386
9.715939512	-7.114915314	none	cell387
11.16511058	-6.204034749	none	cell388
5.966202249	-5.451810303	none	cell389
4.934157362	-6.854316178	none	cell390
11.33824824	-6.691627446	none	cell391
3.871817579	-7.998493138	none	cell392
7.681839933	-7.312654439	none	cell393
4.020604124	-7.165533486	none	cell394
9.081397047	-6.862579289	none	cell395
9.336027136	-7.325571003	none	cell396
4.007853021	-7.80908722	none	cell397
5.117672434	-6.656969491	none	cell398
6.266562452	-8.461406174	none	cell399
10.29454135	-6.833694878	none	cell400
5.61340331	-6.910940114	none	cell401
-5.706284533	0.067954835	Epithelials	cell402
5.184771051	-6.718272152	none	cell403
5.440418234	-7.196483555	none	cell404
4.933199873	-7.212338391	none	cell405
6.854766836	-7.582771721	none	cell406
6.471115102	-4.134021941	none	cell407
4.085184564	-8.405769768	none	cell408
3.600407352	-7.269649449	none	cell409
7.990603437	-7.347835961	none	cell410
9.424077024	-7.39494032	none	cell411
6.073409071	-7.290361348	none	cell412
10.16552638	-7.112327996	none	cell413
11.37911986	-6.420132103	none	cell414
5.689686765	-7.392574254	none	cell415
7.36984395	-8.335767212	none	cell416
6.273877611	-8.092124405	none	cell417
6.75555562	-7.610327187	none	cell418
3.776931276	-8.152187768	none	cell419
5.476977815	-8.975249711	none	cell420
5.233103265	-7.541072789	none	cell421
5.287102213	-9.235981408	none	cell422
4.020566454	-6.980828705	none	cell423
4.645214548	-7.034983101	none	cell424
9.311338415	-6.499929371	none	cell425
3.999695768	-8.227333966	none	cell426
8.254224767	-7.71785635	none	cell427
6.974068632	-7.765642109	none	cell428
4.458533277	-9.121910515	none	cell429
3.634991159	-7.518525544	none	cell430
9.778009405	-6.597789231	none	cell431
3.767866602	-7.201563778	none	cell432
4.024136057	-7.469185296	none	cell433
4.167709818	-8.254519406	none	cell434
9.881702413	-6.381076279	none	cell435
4.391252031	-7.215657177	none	cell436
5.471356382	-7.070482197	none	cell437
11.11176967	-6.625081006	none	cell438
9.081170072	-6.69783062	none	cell439
4.699437608	-9.61437172	none	cell440
3.55188178	-7.278114739	none	cell441
4.489033212	-7.241539898	none	cell442
6.987950792	-7.556929055	none	cell443
5.156823148	-6.71791071	none	cell444
8.974053373	-7.210329953	none	cell445
6.909041395	-7.867541733	none	cell446
5.877558698	-7.208072129	none	cell447
7.012082567	-8.053838196	none	cell448
10.92492389	-7.392400208	none	cell449
5.588366022	-7.308918419	none	cell450
4.351251592	-7.157307568	none	cell451
7.539246549	-8.017963353	none	cell452
3.922054758	-7.289143029	none	cell453
3.730932226	-7.863063756	none	cell454
9.509570112	-6.849767628	none	cell455
9.178758611	-7.211459103	none	cell456
4.126950254	-8.222007218	none	cell457
5.296304216	-7.278228226	none	cell458
8.114896764	-7.559766236	none	cell459
9.026724806	-7.420614186	none	cell460
9.636026373	-6.452000561	none	cell461
6.343530168	-4.925877514	none	cell462
4.687874784	-6.868789616	none	cell463
3.703421583	-6.904431286	none	cell464
11.23372649	-6.634042683	none	cell465
5.232082834	-6.83688921	none	cell466
-6.105595599	0.698760268	Epithelials	cell467
6.686950674	-8.261867466	none	cell468
6.635718336	-7.942959252	none	cell469
9.491520872	-7.35945982	none	cell470
5.103712549	-7.125987473	none	cell471
8.629656782	-6.879165116	none	cell472
3.849879255	-7.923503342	none	cell473
4.955271234	-10.06593651	none	cell474
5.702622881	-7.608670655	none	cell475
4.847305288	-6.954201642	none	cell476
3.901801576	-7.980677071	none	cell477
-5.744447241	0.782157239	Epithelials	cell478
8.077498426	-7.931771699	none	cell479
6.820194235	-5.708701077	none	cell480
3.635366907	-6.985596123	none	cell481
4.612997999	-6.936225834	none	cell482
8.745564451	-6.685800019	none	cell483
-5.865058909	0.310232934	Epithelials	cell484
10.10583781	-6.573204938	none	cell485
9.571973791	-6.567331257	none	cell486
6.352218141	-6.713878098	none	cell487
10.84878158	-6.380958977	none	cell488
5.705338945	-7.242476407	none	cell489
3.75336503	-7.094319764	none	cell490
-5.92253686	0.015790877	Epithelials	cell491
5.054542055	-7.51304144	none	cell492
4.124839773	-7.114818993	none	cell493
5.032343378	-9.211976471	none	cell494
7.193682661	-7.301141205	none	cell495
5.586031427	-6.799538556	none	cell496
3.583199014	-7.417698327	none	cell497
11.24998282	-6.372930947	none	cell498
4.688296785	-7.68777174	none	cell499
11.31148242	-6.355259839	none	cell500
6.582478037	-5.770806733	none	cell501
4.169424047	-6.966082993	none	cell502
6.738589754	-7.51551384	none	cell503
11.00159644	-6.293574276	none	cell504
4.754577627	-6.762470189	none	cell505
7.34700202	-7.569550458	none	cell506
4.269521703	-7.953911725	none	cell507
7.586210718	-7.904287758	none	cell508
6.16944932	-5.078300419	none	cell509
8.797183981	-7.309926453	none	cell510
9.358978262	-6.969869557	none	cell511
6.086328973	-7.510709229	none	cell512
8.30709361	-7.581631127	none	cell513
4.368242731	-7.13247675	none	cell514
3.72169589	-6.71274704	none	cell515
3.799537172	-7.396361294	none	cell516
9.622487058	-7.306303444	none	cell517
-6.265025626	0.61169773	Epithelials	cell518
4.454571237	-7.390974942	none	cell519
4.467788686	-7.962944928	none	cell520
10.70994567	-6.22766203	none	cell521
5.105607023	-6.685219708	none	cell522
3.570854654	-7.441012326	none	cell523
-6.213608752	0.435091373	Epithelials	cell524
3.849871149	-7.029523793	none	cell525
6.513276567	-8.252814236	none	cell526
-6.040311823	0.123424527	Epithelials	cell527
8.426569929	-7.674938622	none	cell528
5.977743616	-7.273201886	none	cell529
4.315244665	-7.512315693	none	cell530
5.900330057	-7.515215817	none	cell531
7.721876135	-7.150650445	none	cell532
4.157274713	-7.47917408	none	cell533
4.262936105	-7.447547856	none	cell534
5.237055292	-6.750966969	none	cell535
